Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,11.4,17,5.9,1027.9,61,0,22.7,3.5,7.2,,,,,
2,11.8,17.6,5.9,1025.6,68,0,15.8,3.5,7.2,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,14.6,16.5,12,1005.6,63,0,24.5,9.1,18,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,10.6,13.2,8.2,1011.3,83,1.52,21.6,1.9,7.2,,,,,
12,11.8,14.3,9.4,1008.9,80,0,17.7,1.9,3.5,,,,,
13,,,,,,,,,,,,,,
14,10.8,11.6,9.3,1016,78,0,28.5,7.2,10.7,,,,,
15,10.3,12.4,8,1015.5,84,0.25,26.6,3.5,7.2,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,13.9,20.4,8.3,1011.4,61,1.02,27.7,1.9,3.5,,,,,
20,16.1,23,7.6,1007.2,63,0,21.6,2.8,7.2,,,,,
21,,,,,,,,,,,,,,
22,14.4,18.3,10.6,1009.4,75,2.03,29.9,6.3,14.4,,,,,
23,15.4,20.8,10.1,1010.9,67,0,24.8,6.3,14.4,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,10.2,13.3,6.6,1022.8,79,1.02,22,2.8,7.2,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
